"season_id","player_id","position","season_coverage_grade","snap_count"
"2019","3558","CB","73.6",56
"2019","3653","S","74.4",13
"2019","4454","CB","60.6",23
"2019","4330","CB","65.2",3
"2019","4334","CB","57.9",43
"2019","5127","CB","74.8",50
"2019","4937","S","53.4",48
"2019","4957","S","86.9",35
"2019","2969","CB","66.8",45
"2019","3152","S","40.9",35
"2019","5532","CB","50.4",39
"2019","5667","CB","61.5",2
"2019","6013","S","62",7
"2019","5686","S","67.9",8
"2019","5820","S","51.9",31
"2019","5903","CB","59.7",47
"2019","5539","S","89",36
"2019","5545","S","71.1",26
"2019","5552","S","80.2",54
"2019","5596","S","41.2",30
"2019","6118","S","61.3",35
"2019","6171","CB","65.8",39
"2019","6289","CB","67.2",22
"2019","6179","CB","64.7",5
"2019","6457","CB","63.3",27
"2019","6306","CB","48.9",45
"2019","7064","CB","62.6",30
"2019","7016","CB","49.7",51
"2019","7023","CB","73.1",22
"2019","7067","CB","53.8",47
"2019","7271","S","60.6",48
"2019","7043","CB","66.7",36
"2019","7051","S","64.6",7
"2019","7279","S","42.9",7
"2019","7288","S","32.2",45
"2019","7796","S","55.2",49
"2019","7641","S","72.4",56
"2019","7649","CB","61.3",41
"2019","7654","CB","61.1",2
"2019","7793","CB","56.4",35
"2019","7799","S","53.5",44
"2019","7817","CB","76.1",63
"2019","7803","CB","67.8",14
"2019","7806","CB","77",49
"2019","7838","S","42",49
"2019","7850","S","58.2",36
"2019","7864","CB","78.2",45
"2019","7865","S","73.2",22
"2019","7814","S","60",1
"2019","7872","S","63.5",29
"2019","8000","S","61.1",47
"2019","7896","CB","48.8",21
"2019","7941","S","61.7",48
"2019","8102","S","61.7",1
"2019","8110","CB","50",41
"2019","8483","CB","51.3",30
"2019","8220","S","72.9",56
"2019","8334","CB","72.5",62
"2019","8361","S","62.6",34
"2019","8396","S","55.7",45
"2019","8714","S","65.4",13
"2019","8676","CB","48.9",33
"2019","8649","CB","61.4",40
"2019","8656","S","83.7",33
"2019","8736","S","64.8",13
"2019","8666","CB","66.7",45
"2019","8853","CB","57.2",11
"2019","8782","S","64.1",14
"2019","8737","CB","75.7",39
"2019","8888","CB","58.1",14
"2019","9177","S","52.8",28
"2019","8744","CB","37.3",10
"2019","8749","CB","28.4",40
"2019","8760","S","29.2",7
"2019","8762","CB","65.8",42
"2019","8763","S","67.5",44
"2019","9040","CB","51.6",49
"2019","9253","S","63.3",9
"2019","9463","S","58.4",31
"2019","9444","CB","38.7",49
"2019","9451","CB","61.7",43
"2019","9460","CB","75.4",23
"2019","9332","CB","64.6",16
"2019","9466","S","51.9",41
"2019","9479","S","61.3",41
"2019","9480","CB","28.3",29
"2019","9483","CB","61.9",30
"2019","9542","S","53",35
"2019","9511","CB","47.5",29
"2019","9531","CB","72.4",39
"2019","9680","CB","46.4",47
"2019","9575","S","65.8",54
"2019","9682","S","60",1
"2019","9578","S","66.4",24
"2019","9633","S","65.1",62
"2019","9698","S","48.5",15
"2019","9892","CB","66.2",60
"2019","9895","S","90.5",59
"2019","10648","S","51.2",30
"2019","10639","CB","34.1",40
"2019","10644","CB","55.3",40
"2019","10645","CB","84.9",34
"2019","10073","CB","57.4",37
"2019","10109","S","63.3",19
"2019","10672","CB","74.2",29
"2019","10651","S","64.4",13
"2019","10688","CB","54.3",15
"2019","10658","CB","52.4",24
"2019","10694","CB","60",1
"2019","10695","S","60",39
"2019","10696","CB","91.7",44
"2019","10659","CB","73.5",1
"2019","10698","S","54.1",49
"2019","10758","S","48.8",5
"2019","10732","S","50.3",27
"2019","10740","CB","60",1
"2019","10711","CB","67.7",39
"2019","10718","CB","61.9",36
"2019","11052","CB","61.2",24
"2019","10801","S","66.3",30
"2019","10823","CB","58.3",44
"2019","10846","S","65.4",7
"2019","11217","CB","90.2",44
"2019","10853","S","55.4",20
"2019","10878","CB","65.2",36
"2019","10879","S","62.3",9
"2019","11766","CB","66.8",40
"2019","10898","CB","47",30
"2019","10902","S","71.7",41
"2019","11418","CB","58.6",20
"2019","11761","S","70.6",41
"2019","11353","CB","37.5",24
"2019","11358","CB","61.9",3
"2019","11770","S","81.1",36
"2019","11771","CB","82.8",36
"2019","11773","CB","70.6",49
"2019","11815","CB","69.5",52
"2019","11797","S","68.6",39
"2019","11798","CB","63.9",28
"2019","11801","CB","44.5",11
"2019","11779","CB","58.3",26
"2019","11780","S","64.5",32
"2019","11782","CB","68.5",49
"2019","11788","CB","67.7",37
"2019","11821","CB","81.7",45
"2019","11791","S","64.4",52
"2019","11794","S","90.2",47
"2019","11878","S","69.4",39
"2019","11854","CB","47.3",43
"2019","11845","CB","75.9",59
"2019","11846","CB","89.9",27
"2019","11847","S","59.6",42
